root,session,regime,n_fills,spread_capture_bp,adverse_select_bp,net_markout_bp,net_after_fee_bp
SI,mid,calm,5738,1.0916,-0.9638,0.1279,0.1129
ZN,mid,calm,11037,0.7262,-0.6241,0.1021,0.0871
HG,mid,calm,7893,0.8322,-0.8033,0.0289,0.0139
ZB,mid,calm,3801,1.2905,-1.2674,0.023,0.008
ZF,mid,calm,14140,0.3936,-0.3716,0.022,0.007
CL,mid,calm,44029,0.9165,-0.9057,0.0108,-0.0042
NQ,mid,calm,22223,0.1097,-0.1055,0.0042,-0.0108
ES,mid,calm,93061,0.2808,-0.3027,-0.0219,-0.0369
6E,mid,calm,9631,0.2764,-0.3131,-0.0368,-0.0518
GC,mid,calm,22913,0.3149,-0.3547,-0.0399,-0.0549
NG,mid,calm,23811,2.6649,-2.7586,-0.0937,-0.1087
6J,mid,calm,7193,0.4193,-0.5177,-0.0984,-0.1134
RTY,mid,calm,6433,0.2803,-0.3814,-0.1011,-0.1161
NG,open,calm,185,4.6188,-4.1327,0.4862,0.4712
CL,open,calm,302,1.0925,-0.8497,0.2428,0.2278
ZN,open,calm,326,0.7975,-0.5708,0.2267,0.2117
NQ,open,calm,494,0.233,-0.0814,0.1517,0.1367
ZB,open,calm,170,1.5023,-1.3591,0.1432,0.1282
HG,open,calm,77,0.849,-0.8304,0.0186,0.0036
6E,open,calm,103,0.2719,-0.2683,0.0036,-0.0114
GC,open,calm,316,0.2959,-0.3092,-0.0133,-0.0283
ZF,open,calm,300,0.4158,-0.4337,-0.0179,-0.0329
ES,open,calm,887,0.2853,-0.3125,-0.0272,-0.0422
RTY,open,calm,31,0.3362,-0.3772,-0.041,-0.056
6J,open,calm,393,0.4039,-0.5078,-0.1039,-0.1189
SI,open,calm,167,1.103,-1.287,-0.184,-0.199
CL,mid,hivol,25149,0.9018,-0.8092,0.0927,0.0777
ZN,mid,hivol,2811,0.7288,-0.6459,0.0829,0.0679
ZB,mid,hivol,2489,1.318,-1.2717,0.0463,0.0313
NQ,mid,hivol,6642,0.1087,-0.0759,0.0328,0.0178
ZF,mid,hivol,858,0.3848,-0.3971,-0.0124,-0.0274
ES,mid,hivol,19083,0.2734,-0.2888,-0.0154,-0.0304
HG,mid,hivol,3375,0.8078,-0.8362,-0.0284,-0.0434
6E,mid,hivol,1568,0.2847,-0.3152,-0.0305,-0.0455
RTY,mid,hivol,3926,0.2678,-0.3044,-0.0367,-0.0517
GC,mid,hivol,5384,0.2907,-0.3393,-0.0485,-0.0635
SI,mid,hivol,1028,1.0489,-1.1445,-0.0956,-0.1106
6J,mid,hivol,365,0.4227,-0.6241,-0.2014,-0.2164
NG,mid,hivol,2316,2.8354,-3.1568,-0.3214,-0.3364
NG,open,hivol,111,4.4414,-4.0267,0.4147,0.3997
CL,open,hivol,248,1.5034,-1.333,0.1704,0.1554
NQ,open,hivol,374,0.1671,-0.0835,0.0836,0.0686
6E,open,hivol,55,0.2775,-0.1961,0.0814,0.0664
GC,open,hivol,128,0.2981,-0.2826,0.0155,0.0005
6J,open,hivol,158,0.4233,-0.4246,-0.0013,-0.0163
ZF,open,hivol,359,0.4188,-0.4231,-0.0043,-0.0193
ES,open,hivol,658,0.2818,-0.3195,-0.0377,-0.0527
ZN,open,hivol,217,0.8369,-0.9747,-0.1379,-0.1529
HG,open,hivol,128,0.939,-1.1189,-0.1799,-0.1949
ZB,open,hivol,115,1.4451,-1.832,-0.3869,-0.4019
RTY,open,hivol,122,0.3815,-0.8056,-0.4241,-0.4391
SI,open,hivol,66,1.2135,-2.1636,-0.9501,-0.9651
