root,n_rootdays,n_fills,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,net_after_fee_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,net_after_fee_bp_60s
ZN,18,14391,0.7300008658043037,-0.6324455515286369,0.09755531427566662,0.08255531427566663,0.7300008658043037,-0.6179051864790163,0.11209567932528731,0.09709567932528732
SI,18,6999,1.0867947833247136,-1.0093447535011904,0.07745002982352345,0.06245002982352345,1.0867947833247136,-1.0094839154700084,0.07731086785470515,0.06231086785470513
CL,19,69728,0.9140882395750957,-0.8721574794258833,0.041930760149212314,0.02693076014921231,0.9140882395750958,-0.9003104722238192,0.013777767351276426,-0.0012222326487235614
ZB,18,6575,1.3090976274626653,-1.2812959635860128,0.027801663876652116,0.012801663876652119,1.3090976274626653,-1.3048646270039235,0.0042330004587418976,-0.01076699954125809
ZF,18,15657,0.39408372754405857,-0.3753720977858117,0.018711629758246875,0.0037116297582468726,0.39408372754405857,-0.4039800629877891,-0.009896335443730479,-0.02489633544373047
NQ,19,29733,0.11226832785739374,-0.09819362310476716,0.014074704752626567,-0.0009252952473734276,0.11226832785739373,-0.0972265805552244,0.015041747302169372,4.174730216937423e-05
HG,16,11473,0.8262945310740561,-0.8166515030958071,0.009643027978249034,-0.005356972021750967,0.8262945310740561,-1.0074737524709776,-0.1811792213969215,-0.1961792213969215
ES,22,113689,0.27963831986723703,-0.30058478859981524,-0.020946468732578178,-0.03594646873257818,0.27963831986723703,-0.2984990998135826,-0.018860779946345562,-0.033860779946345565
6E,18,11357,0.27747678938762554,-0.3124609397413633,-0.034984150353737746,-0.04998415035373774,0.27747678938762554,-0.2858720237551032,-0.00839523436747765,-0.023395234367477653
GC,18,28741,0.31006737229274856,-0.35100814263815355,-0.040940770345404914,-0.05594077034540491,0.3100673722927486,-0.35562115277418715,-0.0455537804814385,-0.0605537804814385
RTY,12,10512,0.27695023762353904,-0.3575613922661637,-0.0806111546426246,-0.0956111546426246,0.27695023762353904,-0.3415642117909261,-0.06461397416738701,-0.07961397416738705
6J,18,8109,0.41875862281958315,-0.5202071465048231,-0.10144852368523988,-0.11644852368523988,0.41875862281958315,-0.5374332963589804,-0.11867467353939715,-0.13367467353939716
NG,18,26423,2.700946791720649,-2.8084270052874825,-0.10748021356683404,-0.12248021356683406,2.700946791720649,-3.0020398541673576,-0.30109306244670775,-0.31609306244670776
