root,tick,price,multiplier,notional_usd,tick_bp,fee_bp_paper,fee_bp_mid,fee_bp_lo,fee_bp_hi,captured_bp,adverse_bp,net_after_fee_bp,survives
NQ,0.25,15196.375,20,303928.0,0.1645,0.015,0.0082,0.0033,0.0132,0.1123,-0.0982,-0.0009,False
6E,4.999999999988347e-05,1.100575,125000,137572.0,0.4543,0.015,0.0182,0.0073,0.0291,0.2775,-0.3125,-0.05,False
GC,0.09999999999990905,1930.8,100,193080.0,0.5179,0.015,0.0129,0.0052,0.0207,0.3101,-0.351,-0.0559,False
RTY,0.09999999999990905,1877.0,50,93850.0,0.5328,0.015,0.0266,0.0107,0.0426,0.277,-0.3576,-0.0956,False
ES,0.25,4437.625,50,221881.0,0.5634,0.015,0.0113,0.0045,0.018,0.2796,-0.3006,-0.0359,False
6J,4.999999999996327e-07,0.007112,12500000,88906.0,0.703,0.015,0.0281,0.0112,0.045,0.4188,-0.5202,-0.1164,False
ZF,0.0078125,106.167969,1000,106168.0,0.7359,0.015,0.0235,0.0094,0.0377,0.3941,-0.3754,0.0037,True
HG,0.0004999999999997229,3.7805,25000,94512.0,1.3226,0.015,0.0265,0.0106,0.0423,0.8263,-0.8167,-0.0054,False
CL,0.009999999999990905,73.87,1000,73870.0,1.3537,0.015,0.0338,0.0135,0.0541,0.9141,-0.8722,0.0269,True
ZN,0.015625,110.523438,1000,110523.0,1.4137,0.015,0.0226,0.009,0.0362,0.73,-0.6324,0.0826,True
SI,0.004999999999999005,23.32,5000,116600.0,2.1441,0.015,0.0214,0.0086,0.0343,1.0868,-1.0093,0.0625,True
ZB,0.03125,123.515625,1000,123516.0,2.53,0.015,0.0202,0.0081,0.0324,1.3091,-1.2813,0.0128,True
NG,0.0009999999999998899,2.569,10000,25690.0,3.8926,0.015,0.0973,0.0389,0.1557,2.7009,-2.8084,-0.1225,False
