root,n_rootdays,n_fills,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,net_after_fee_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,net_after_fee_bp_60s,rv_10s_bp
SI,5,8901,3.6448906033251336,-3.1874708947567836,0.4574197085683493,0.44241970856834933,3.6448906033251336,-4.034934861158145,-0.39004425783301133,-0.4050442578330113,11.655152788320693
GC,5,30559,0.7618856279457368,-0.3100248253928757,0.4518608025528612,0.4368608025528612,0.7618856279457368,-0.37781816729437095,0.3840674606513659,0.36906746065136586,4.195178656948689
HG,5,10270,1.7194058562683034,-1.4049595283554346,0.31444632791286903,0.29944632791286896,1.7194058562683034,-1.7655327801680158,-0.046126923899712076,-0.06112692389971206,6.008380471016559
ES,5,288667,0.6169430099274312,-0.40188408638596906,0.21505892354146203,0.200058923541462,0.6169430099274312,-0.4767307650218601,0.14021224490557094,0.12521224490557092,7.319384009212891
CL,5,77836,2.548751799065634,-2.3490059054057824,0.19974589365985143,0.18474589365985142,2.548751799065634,-2.4951184144220817,0.05363338464355202,0.03863338464355201,12.248928540176948
ZB,5,18167,1.566710775896533,-1.3728509058948677,0.19385987000166546,0.17885987000166548,1.5667107758965328,-1.265051899287387,0.301658876609146,0.28665887660914596,6.637248558367042
NG,5,11566,3.771790776292995,-3.5809650284727166,0.19082574782027803,0.175825747820278,3.771790776292995,-4.158240724230354,-0.38644994793735904,-0.4014499479373589,5.651787280904649
ZN,5,12312,0.6657082825238261,-0.5726277006526266,0.09308058187119964,0.07808058187119966,0.6657082825238263,-0.6892967073927339,-0.02358842486890758,-0.03858842486890759,2.447423865705306
6J,5,13696,0.45003246060526636,-0.35950632278675926,0.09052613781850707,0.07552613781850707,0.45003246060526636,-0.34916284185544216,0.10086961874982414,0.08586961874982414,1.4153223165163644
6E,5,21727,0.33162521619855395,-0.2910967153567492,0.04052850084180466,0.025528500841804663,0.33162521619855395,-0.2888115396311209,0.042813676567433005,0.02781367656743301,1.331415090346735
ZF,5,5607,0.34100707091529925,-0.31484422066183104,0.0261628502534682,0.011162850253468201,0.34100707091529925,-0.3192866602833881,0.021720410631911137,0.006720410631911136,0.8440033948866982
RTY,5,23298,1.4816929307940645,-1.456788831803092,0.02490409899097243,0.009904098990972417,1.4816929307940645,-1.6566959514391522,-0.17500302064508774,-0.1900030206450875,9.163945419893825
NQ,5,30304,0.9988340301552826,-0.9879116905116877,0.010922339643595052,-0.004077660356404947,0.9988340301552826,-1.2454418007218688,-0.2466077705665865,-0.2616077705665865,6.877245115724632
