root,n_rootdays,n_fills,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,net_after_fee_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,net_after_fee_bp_60s,rv_10s_bp
HG,5,6111,0.6772949417421595,-0.3830765888471692,0.2942183528949904,0.27921835289499036,0.6772949417421595,-0.2503842981353888,0.4269106436067707,0.4119106436067707,1.3905544326867536
SI,5,5437,1.0378840378188081,-0.8246530333618936,0.2132310044569145,0.1982310044569145,1.0378840378188083,-0.8946125346057037,0.14327150321310414,0.1282715032131041,1.7262292601662683
NG,5,8109,1.8144526157158252,-1.6385299500489865,0.17592266566683915,0.16092266566683916,1.8144526157158256,-1.6593152341486386,0.15513738156718707,0.14013738156718708,2.431804985758871
RTY,5,15739,0.3025091878875212,-0.14771582687645174,0.15479336101106939,0.13979336101106937,0.3025091878875211,-0.11212397588133291,0.1903852120061882,0.1753852120061882,1.3895840327250353
NQ,5,44802,0.1258484681094789,-0.040259042361310185,0.08558942574816866,0.07058942574816868,0.12584846810947886,-0.046724797398717696,0.07912367071076118,0.06412367071076118,0.9427637889620323
CL,5,27968,0.8271852464658899,-0.7533173847162913,0.0738678617495987,0.0588678617495987,0.8271852464658899,-0.8312513343343974,-0.0040660878685074425,-0.019066087868507435,2.0801484348013433
ZN,5,1909,0.5992754540896187,-0.5422481512661277,0.05702730282349101,0.04202730282349101,0.5992754540896187,-0.514274467491418,0.08500098659820066,0.07000098659820066,0.45326790975586145
ES,5,48535,0.28860203089960584,-0.2580446704319835,0.030557360467622377,0.015557360467622374,0.28860203089960584,-0.26864551662394687,0.019956514275659025,0.004956514275659017,0.6711412127550679
GC,5,16064,0.2957131540697831,-0.2805629937263782,0.01515016034340484,0.0001501603434048412,0.2957131540697831,-0.28000260616756895,0.015710547902214076,0.000710547902214074,0.9693489142598954
6E,5,12695,0.21484467118057246,-0.21701742019953868,-0.0021727490189662334,-0.017172749018966236,0.21484467118057246,-0.20875000879879357,0.006094662381778904,-0.008905337618221095,0.3935798976707618
6J,5,6775,0.2800449591257459,-0.28705643113685125,-0.0070114720111052785,-0.022011472011105277,0.28004495912574595,-0.2999731694127334,-0.01992821028698741,-0.03492821028698741,0.37415619206975703
ZB,5,4789,0.9923423208215691,-1.002027442100526,-0.009685121278956599,-0.024685121278956598,0.9923423208215691,-1.0100806488194638,-0.017738327997894706,-0.0327383279978947,0.8583050595823166
ZF,5,1081,0.3333160709726333,-0.3432035282016979,-0.009887457229064573,-0.02488745722906457,0.3333160709726333,-0.2561870660515357,0.07712900492109766,0.06212900492109765,0.31623402191543043
