root,n_rootdays,n_fills,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,net_after_fee_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,net_after_fee_bp_60s,rv_10s_bp
SI,5,6119,1.0890734350691267,-0.7569361991469873,0.33213723592213956,0.3171372359221396,1.0890734350691267,-0.9344984833166932,0.15457495175243344,0.13957495175243342,1.92043966122774
CL,5,21056,0.8755997531054367,-0.6680525402185675,0.20754721288686934,0.19254721288686932,0.8755997531054367,-0.5902549808967663,0.2853447722086705,0.27034477220867054,1.8956315612517012
HG,5,7349,0.7956412907582295,-0.5923906649811714,0.20325062577705824,0.18825062577705826,0.7956412907582295,-0.5401188927531707,0.25552239800505905,0.24052239800505906,1.4236353985001347
ZB,5,4832,1.287257367675645,-1.1733327171483605,0.1139246505272841,0.09892465052728412,1.2872573676756447,-1.2226212542120796,0.06463611346356508,0.049636113463565085,1.1651405716920828
ZN,5,3908,0.7186776964008268,-0.6167339902831269,0.10194370611770007,0.08694370611770005,0.7186776964008268,-0.61291839590608,0.10575930049474692,0.09075930049474694,0.6292984351434155
NG,5,10523,2.607342229451186,-2.510804128749365,0.09653810070182085,0.08153810070182085,2.607342229451186,-2.685930238773035,-0.07858800932184888,-0.09358800932184887,3.652891541418129
NQ,5,63167,0.11049539352078773,-0.030961526019332806,0.07953386750145493,0.06453386750145491,0.11049539352078773,-0.06805509466338916,0.042440298857398584,0.027440298857398588,0.9616068552937793
6J,5,15058,0.37548349055709807,-0.30198939125479635,0.07349409930230166,0.058494099302301664,0.37548349055709807,-0.28359557467178387,0.09188791588531418,0.07688791588531417,0.8551667770450545
ZF,5,2715,0.38249542817139154,-0.3163400878799088,0.06615534029148276,0.051155340291482776,0.3824954281713914,-0.3236936371310238,0.05880179104036772,0.04380179104036772,0.4237906375616867
GC,5,18641,0.2787217270722476,-0.22805617431214775,0.05066555276009981,0.035665552760099827,0.2787217270722476,-0.2275146454804548,0.05120708159179276,0.036207081591792756,0.8882419229981106
6E,5,13674,0.25262864720145,-0.20198103259837946,0.050647614603070545,0.03564761460307055,0.25262864720145,-0.18833246963897626,0.06429617756247374,0.049296177562473745,0.5120412092240493
RTY,5,17755,0.2770112746046927,-0.24576431991130762,0.031246954693385096,0.0162469546933851,0.2770112746046927,-0.22595492034393444,0.05105635426075827,0.03605635426075827,1.1591069199315172
ES,5,48462,0.2800117682535913,-0.2523409763024935,0.02767079195109777,0.01267079195109777,0.2800117682535913,-0.24749727285754866,0.03251449539604267,0.01751449539604267,0.6520873859247109
