root,n_rootdays,n_fills,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,net_after_fee_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,net_after_fee_bp_60s,rv_10s_bp
SI,5,8267,1.2104551272458974,-0.9525836355956391,0.25787149165025847,0.24287149165025845,1.2104551272458974,-1.0485433833084539,0.16191174393744373,0.14691174393744372,2.848724083007216
CL,5,30540,1.0322597967609393,-0.7854098979997902,0.2468498987611487,0.2318498987611487,1.0322597967609393,-0.9650567412020103,0.0672030555589289,0.05220305555892888,3.7357825699657634
NG,5,10338,3.265012114934732,-3.0285040136523262,0.23650810128240632,0.2215081012824063,3.265012114934733,-3.3718137589228525,-0.10680164398811964,-0.12180164398811966,5.5174271286218035
HG,5,9113,0.9019417198344782,-0.7087294233665602,0.193212296467918,0.178212296467918,0.9019417198344782,-0.7089461035933482,0.19299561624113012,0.17799561624113014,2.454569020364466
GC,5,28292,0.3082259464835923,-0.15881118864400295,0.14941475783958935,0.1344147578395893,0.3082259464835923,-0.13940684893273705,0.16881909755085525,0.15381909755085524,1.3077456085447394
NQ,5,48208,0.23432407306668834,-0.09286819577325749,0.14145587729343087,0.12645587729343086,0.23432407306668834,-0.09340346935242261,0.14092060371426574,0.12592060371426575,2.1169419070418987
6J,5,21903,0.34019048838622057,-0.21771382128653105,0.12247666709968955,0.10747666709968957,0.3401904883862206,-0.24798436238044178,0.09220612600577884,0.07720612600577882,1.232360919985278
ZN,5,16364,0.728839737390703,-0.6401812570535127,0.0886584803371903,0.07365848033719029,0.728839737390703,-0.7066661535004596,0.02217358389024352,0.007173583890243523,1.442871900943614
6E,5,25837,0.24373614722440187,-0.1612438777204627,0.08249226950393918,0.06749226950393918,0.24373614722440187,-0.13964064532002843,0.10409550190437347,0.08909550190437346,0.8251439935203856
ES,5,163373,0.32412974247926307,-0.2536029167302417,0.07052682574902137,0.055526825749021375,0.32412974247926307,-0.25094510705175904,0.07318463542750406,0.05818463542750406,2.073232289328291
ZB,5,16094,1.2490265957439064,-1.1853823661542662,0.06364422958964008,0.048644229589640084,1.2490265957439062,-1.2096558628090064,0.03937073293490019,0.024370732934900195,2.1097608397023646
RTY,5,28938,0.3950154481497158,-0.3384562855725308,0.056559162577184886,0.04155916257718489,0.3950154481497158,-0.1680753281588716,0.22694011999084415,0.21194011999084417,2.640396944106437
ZF,5,11445,0.40619965039324063,-0.37922476874415606,0.026974881649084508,0.011974881649084512,0.40619965039324063,-0.4229749335501346,-0.016775283156894066,-0.03177528315689406,1.125870835810479
