root,n_rootdays,n_fills,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,net_after_fee_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,net_after_fee_bp_60s,rv_10s_bp
SI,5,4732,1.3028621129483562,-0.8898347306082518,0.4130273823401044,0.39802738234010443,1.3028621129483562,-1.0077318519594551,0.2951302609889011,0.2801302609889011,2.6305728490419797
HG,5,4350,0.9597314007148523,-0.6179220120919593,0.34180938862289284,0.3268093886228928,0.9597314007148523,-0.634885954746047,0.32484544596880516,0.30984544596880514,2.0626516374534254
GC,5,18258,0.33577907880301167,-0.19940743775415692,0.13637164104885463,0.12137164104885463,0.33577907880301167,-0.1883687281082118,0.14741035069479977,0.13241035069479973,1.3560673273057782
RTY,5,22593,0.3963696582299929,-0.2661531576339577,0.1302165005960352,0.1152165005960352,0.3963696582299929,-0.4294741806411508,-0.033104522411157786,-0.048104522411157785,2.611899299999473
NQ,5,46717,0.2717304031738207,-0.1699891235696937,0.10174127960412702,0.086741279604127,0.2717304031738207,-0.11142112924439149,0.16030927392942917,0.14530927392942922,2.7561835982468486
ZB,5,11182,1.3464187028001728,-1.255961534208081,0.09045716859209176,0.07545716859209177,1.3464187028001728,-1.2671401577434338,0.07927854505673912,0.06427854505673913,3.029932977106586
CL,5,21920,0.8671552577095095,-0.7960607564339891,0.07109450127552047,0.05609450127552046,0.8671552577095095,-0.7343229293550785,0.13283232835443107,0.11783232835443105,3.2749905579413374
6E,5,16598,0.25618814407496726,-0.18539204432824916,0.0707960997467181,0.0557960997467181,0.25618814407496726,-0.14606656523091163,0.11012157884405564,0.09512157884405562,0.8906750263148758
ES,5,151887,0.3398960063429247,-0.27952437945766895,0.06037162688525577,0.04537162688525577,0.3398960063429247,-0.2898903107843901,0.050005695558534596,0.03500569555853459,2.32653530449548
6J,5,14767,0.3608821225787643,-0.3233093047949689,0.037572817783795405,0.022572817783795423,0.36088212257876423,-0.3360150877222997,0.024867034856464444,0.009867034856464453,1.1457831636097113
ZN,5,8401,0.6998610628853094,-0.6856083050460839,0.014252757839225314,-0.0007472421607746833,0.6998610628853094,-0.7525192026294821,-0.05265813974417278,-0.06765813974417278,1.021840250740902
ZF,5,4456,0.41345813134712356,-0.41243616095932534,0.0010219703877983484,-0.013978029612201652,0.41345813134712356,-0.4300818423880512,-0.016623711040927542,-0.031623711040927545,0.8052932895649136
NG,5,12333,2.721822868829804,-3.1667212293193465,-0.4448983604895425,-0.45989836048954247,2.721822868829804,-4.071610486093583,-1.3497876172637795,-1.3647876172637794,8.031292221697665
