hypothesis,root,date,p_value,bh_qvalue,bh_reject_at_0.05,effect
M1_skew,6E,20230709,1.0,1.0,False,0.0
M6_realised_spread,6E,20230709,0.6183816183816184,1.0,False,-1.7208244154334484e-09
M6_zero_fee_skill,6E,20230709,0.2597402597402597,0.8382033478986388,False,3.5024400000023625e-05
M1_skew,6E,20230710,1.0,1.0,False,-1.8703980099502486
M3_microprice,6E,20230710,0.2127872127872128,0.8382033478986388,False,0.0684115422129675
M3_integ_ofi,6E,20230710,0.24475524475524477,0.8382033478986388,False,0.06340548212455714
M6_realised_spread,6E,20230710,0.012987012987012988,0.3111356728378005,False,5.713240490332196e-06
M6_zero_fee_skill,6E,20230710,0.9250749250749251,1.0,False,-0.00017090815124994803
M1_skew,6E,20230711,1.0,1.0,False,-1.8532338308457712
M3_microprice,6E,20230711,0.9630369630369631,1.0,False,-0.22788486253033682
M3_integ_ofi,6E,20230711,0.9630369630369631,1.0,False,-0.27276490645690127
M6_realised_spread,6E,20230711,0.07992007992007992,0.6337324647183803,False,3.457812164314516e-06
M6_zero_fee_skill,6E,20230711,0.5054945054945055,1.0,False,-3.985112500547923e-07
M1_skew,6E,20230712,1.0,1.0,False,-2.9405472636815917
M3_microprice,6E,20230712,0.7292707292707292,1.0,False,-0.05922846046265352
M3_integ_ofi,6E,20230712,0.7072927072927073,1.0,False,-0.052390705550213086
M6_realised_spread,6E,20230712,0.34065934065934067,0.9541851183642228,False,1.6334418819775634e-06
M6_zero_fee_skill,6E,20230712,0.4075924075924076,1.0,False,0.00011283278867187704
M1_skew,6E,20230713,1.0,1.0,False,-3.9157782515991477
M3_microprice,6E,20230713,0.9230769230769231,1.0,False,-0.15745365758199642
M3_integ_ofi,6E,20230713,0.951048951048951,1.0,False,-0.23993793117558504
M6_realised_spread,6E,20230713,0.27972027972027974,0.8582153541281607,False,1.940103756918603e-06
M6_zero_fee_skill,6E,20230713,0.5324675324675324,1.0,False,-3.543372773454323e-05
M1_skew,6E,20230714,1.0,1.0,False,-3.440489417989418
M3_microprice,6E,20230714,0.8611388611388612,1.0,False,-0.09290954969562787
M3_integ_ofi,6E,20230714,0.7732267732267732,1.0,False,-0.08533581408591154
M6_realised_spread,6E,20230714,0.16883116883116883,0.8021261438982957,False,3.2162459518316323e-06
M6_zero_fee_skill,6E,20230714,0.6463536463536463,1.0,False,-0.00015681010211864065
M1_skew,6E,20230716,0.13486513486513488,0.7536109210986058,False,0.5
M6_realised_spread,6E,20230716,0.23876123876123875,0.8382033478986388,False,2.773869669467277e-05
M6_zero_fee_skill,6E,20230716,0.13586413586413587,0.7536109210986058,False,0.0001060806833332289
M1_skew,6E,20230717,0.993006993006993,1.0,False,-0.9833333333333332
M3_microprice,6E,20230717,0.10789210789210789,0.740771423698253,False,0.13965897953421666
M3_integ_ofi,6E,20230717,0.38161838161838163,0.9791526655163019,False,0.031316347130428066
M6_realised_spread,6E,20230717,0.3336663336663337,0.9463684929679892,False,1.165998108312007e-06
M6_zero_fee_skill,6E,20230717,0.18581418581418582,0.8382033478986388,False,0.00023437190677967002
M1_skew,6E,20230718,1.0,1.0,False,-2.8179104477611943
M3_microprice,6E,20230718,0.4015984015984016,1.0,False,0.0223642246078266
M3_integ_ofi,6E,20230718,0.3726273726273726,0.9791526655163019,False,0.03759725755338732
M6_realised_spread,6E,20230718,0.1028971028971029,0.7108106617309071,False,4.94633258645294e-06
M6_zero_fee_skill,6E,20230718,0.5744255744255744,1.0,False,-6.828188253965306e-05
M1_skew,6E,20230719,1.0,1.0,False,-3.5132906894100926
M3_microprice,6E,20230719,0.8361638361638362,1.0,False,-0.1164567480918271
M3_integ_ofi,6E,20230719,0.7112887112887113,1.0,False,-0.08407760678954614
M6_realised_spread,6E,20230719,0.007992007992007992,0.2368158157631842,False,6.546962621010434e-06
M6_zero_fee_skill,6E,20230719,0.5434565434565435,1.0,False,-3.7787899122749435e-05
M1_skew,6E,20230720,1.0,1.0,False,-2.5007107320540154
M3_microprice,6E,20230720,0.7772227772227772,1.0,False,-0.09487840956546653
M3_integ_ofi,6E,20230720,0.7982017982017982,1.0,False,-0.10939412700425326
